Number	Question	A	B	C	D	Answer	Image	D_Last	Extra
1	Which guardian was most appreciative of Laverna's baking skills in Fairytopia?	Ruby	Topaz	Azura	Amethyst	B		0	Topaz thought that the "fluffernutters" were "quite good."
2	Which character was not voiced by the same voice actor/actress?	Laverna	Genevieve	Lydia	Snouts	B		0	Kathleen Barr voiced Shiver, Laverna, Lydia, Eris, Snouts, and many other characters.
3	What was the name of Derek's Parrot?	Desmond	Felix	Azul	Sylvester	B		0	Many would argue that indeed Derek should have traded him instead of the horse.
4	Which of the follow characters is not a Princess?	Rapunzel	Anneliese	Mariposa	Merliah	C		0	Mariposa and Prince Carlos never actually cement a relationnship. Probably because he's too busy hanging out with Willa.
5	What was Prince Nalu's name in Fairytopia (before Mermaidia)?	Nori	Faban	Kai	Navine	C		0	Mattel likely changed his name because he was a playboy in the first movie.
6	Which of the following of Barbie's friends did not share the same character model as Barbie?	Erica	Dandelion	Alexa	Luciana	B		0	
7	Which of the following of Barbie's animal friends is the smallest?	Penelope	Brietta	Tika	Twyla	D		0	Brietta can be considered an animal friend since she's a pegasus almost the entire movie.
8	Which is Barbie's cat in the 12 Dancing Princesses?	Serafina	Twyla	Chuzzlewit	Miette	B		0	
9	Which of the guardians was supposedly the tallest?	Azura	Ruby	Tourmaline	Topaz	B		0	Actually, if you compare Ruby and Tourmaline's character models, they're all about the same height.
10	Which movie was not produced before 2007?	Diamond Castle	Magic of Pegasus	Princess and the Pauper	Magic of the Rainbow	A		0	
11	Who was the male lead in Swan Lake (2003)?	Prince Siegfried	Prince Daniel	Prince Mathias	Prince Ian	B		0	Despite Swan Lake's Prince being Siegfried, Swan Lake (2003) renamed their male lead. However, Pink Shoes kept the male lead as Siegfried.
12	Which movie did not include a talking horse-creature?	Pegasus	Princess and the Pauper	12 Dancing Princesses	Three Musketeers	C		0	Only in Pegasus did the "horse" actually communicate with the humans.
13	Which villain did not share a common theme color?	Laverna	Queen Arianna	Lydia	Philippe	A		0	The other three had a dark red theme color, though green was a very common villain color in Barbie as well.
14	In which movie does Ken break up with Barbie?	Fashion Fairytale	Fairy Secret	Princess Charm School	It's a trick question	D		1	Ken could never truely break up with Barbie.
15	Which movie is not a musical?	Rapunzel	Island Princess	Diamond Castle	Mermaid Tale	A		0	Rapunzel has beautiful instrumental music that is highly recommended.
16	In which movie is the villain not related to royalty?	Princess and the Pauper	Fairytopia	12 Dancing Princesses	Island Princess	A		0	Preminger's plan is to marry into the crown, and if he is related to royalty, it is not explicitly stated.
17	Which male lead has blonde hair?	Prince Eric	Derek	Prince Carlos	Dillion	D		0	Dillion is ballet dancer who is also Siegfriend in the Pink Shoes.
18	Which of the following movies did not include fairies?	Nutcracker	Mermaidia	Diamond Castle	Princess Charm School	C		0	
19	Who does Portia thinks makes her clothes?	Elves	Bakers	Flairies	Servants	A		0	
