id	question	a	b	c	d
330	In which movie did the main character not have a puffball?	Fairytopia	Mariposa	Mermaidia	Mariposa II
331	What gemstone did Odile consider "so yesterday?"	Pearls	Diamonds	Rubies	Emeralds
332	Which guardian was most appreciative of Laverna's baking skills in Fairytopia?	Ruby	Topaz	Azura	Amethyst
333	Which character was not voiced by the same voice actor/actress?	Laverna	Genevieve	Lydia	Snouts
334	What was the name of Derek's Parrot?	Desmond	Felix	Azul	Sylvester
335	Which of the follow characters is not a Princess?	Rapunzel	Anneliese	Mariposa	Merliah
336	What was Prince Nalu's name in Fairytopia (before Mermaidia)?	Nori	Faban	Kai	Navine
337	Which of the following of Barbie's friends did not share the same character model as Barbie?	Erica	Dandelion	Alexa	Luciana
338	Which of the following of Barbie's animal friends is the smallest?	Penelope	Brietta	Tika	Twyla
339	Which is Barbie's cat in the 12 Dancing Princesses?	Serafina	Twyla	Chuzzlewit	Miette
340	Which of the guardians was supposedly the tallest?	Azura	Ruby	Tourmaline	Topaz
341	Which movie was not produced before 2007?	Diamond Castle	Magic of Pegasus	Princess and the Pauper	Magic of the Rainbow
342	Who was the male lead in Swan Lake (2003)?	Prince Siegfried	Prince Daniel	Prince Mathias	Prince Ian
343	Which movie did not include a talking horse-creature?	Pegasus	Princess and the Pauper	12 Dancing Princesses	Three Musketeers
344	Which villain did not share a common theme color?	Laverna	Queen Arianna	Lydia	Philippe
345	In which movie does Ken break up with Barbie?	Fashion Fairytale	Fairy Secret	Princess Charm School	It's a trick question
346	Which movie is not a musical?	Rapunzel	Island Princess	Diamond Castle	Mermaid Tale
347	In which movie is the villain not related to royalty?	Princess and the Pauper	Fairytopia	12 Dancing Princesses	Island Princess
348	Which male lead has blonde hair?	Prince Eric	Derek	Prince Carlos	Dillion
349	Which of the following movies did not include fairies?	Nutcracker	Mermaidia	Diamond Castle	Princess Charm School
350	Who does Portia thinks makes her clothes?	Elves	Bakers	Flairies	Servants
351	What is the Princes' boarding school in Princess Charm School?	Prince's Charm School	Prince Charming Academy	Royal Prince Academy	Sir Brock's Distinquished School for Gentle Royals
352	For what does Barbie and Ken spar over in Wally's?	Raquelle	Ice cream	A joke	Waffles
353	What does Ken ask for when Princess Graciella's ladies in waiting put him in armor?	A mirror	A staff	A different color	A can opener
354	What are the small helping fairies called in Mariposa?	Flairies	Sparklites	Flutter Pixies	Butterfly Sprites
355	What is the best definition for "beflutter" as used in Mariposa?	To have your heart race at the thought of the prince.	A sign of respect to the royal butterfly fairies.	To adorn dresses in sparkles to impress the prince.	It's a type of Flutterfield snack.
356	What is Prince Carlos's alias when he first meets Mariposa?	Andreas	Solrac	Julian	Nicholas
357	Which species does not exist in the Fairytopia universe?	Meewah	Puffball	Sea Butterfly	Pegapony
358	Which fairy type isn't mentioned in the fairytopia universe?	Glimmer fairy	Butterfly fairy	Crystal fairy	Sparkle fairy
359	Why was Aiden in the Forbidden Forest?	He was waiting to rescue Princess Annika.	He was looking for his father.	He was running away from his gambling addiction.	He was troll hunting.
360	Why does Barbie get fired in Fashion Fairytale?	Ken was fired, so Barbie got herself fired so they could be together.	She refused to work with zombie peas.	She was given a better opportunity, so her studio fired her so she could pursue it.	She wasn't good at her job.
361	What is the name of Break's son (Merliah's father)?	Shred	Crash	Rip	Tank
362	Which princess from 12 Dancing Princesses was the eldest?	Ashlyn	Fallon	Isla	Lacey
363	What item does Rapunzel find at the beginning of the movie?	A magical paintbrush	A magical hairbrush	Magic berries	A magical dress
364	Which of the following movies does not include a character named Hadley?	12 Dancing Princesses	Mermaid Tale	Fashion Fairytale	Princess Charm School
365	Which of the following did not exist in Oceana?	Seaphora	A deep sea 3 player	Bloomingtails	Underwater Outfitters
366	Why did Merliah need a comb?	To wow the merfolk	To brush her hair	To sell it for a profit	To search for lice
367	Which of the following villains did not have a sidekick who simped for them?	Laverna	Duchess Rowena	Queen Ariana	Lydia
368	Which of the following characters had a title, but no official name?	The Sugar Plum Princess	The Enchantress	The Cloud Queen	The Muses of Music
369	Which extra(s) does not talk in the entire movie?	The skunk from Swan Lake	Princess Graciella's assistants	Brock	Prince, Blair's dog
370	What amenities do Headmistress Privett mention are available to the students at Princess Charm School?	State of the art digital class room	Olympic size ball room	Luxurious spa	All of the above
371	What is Blair's Birthday?	April 26th	April 1st	December 13th	November 12th
372	How old was Stephan turning at his birthday ball?	16	17	18	20
373	Which was not a bug that the triplets took care of in 12 Dancing Princesses?	Harold, the catepillar	Thomas, the beetle	Richard, the spider	Christopher, the walking stick
374	Many different types of fairies are introduced in Magic of the Rainbow, and some have special powers. What is Linden's type of fairy known for?	Speaking to animals	Seeing the future	Understanding many languages	Healing with the power of nature
375	There are three stages to the flight of spring in Magic of the Rainbow. What is the second stage?	Luminesence	Flance	Sparkle magic	Prayer
376	Where can you find thistle bursts?	Bogs of the Hinter Lands	Swamp of the Skeezites	The monster's mouth	Nettle Swamp
377	What poison is used on Queen Marabella?	Cyanide	Nettlepix	Ilyios	A love potion
378	What are the names of the two henchmen of Preminger?	Nick and Nack	Norm and Tom	Toby and Tony	They didn't have names
379	What was Mariposa doing when Carlos broke into her house?	Reading	Sleeping	Brushing her wings	Getting dressed
380	Who was the main character of Mariposa?	Catania	Mariposa	Willa	Bibble
381	What did Anneliese and Julian find in the mines?	Gold	Pyrite	Love	Geodes
382	What is the final quote of Mariposa?	The most beautiful thing you can be is yourself.	Listen to your heart-It knows the way.	Believe in yourself and you can do anything.	The beauty of the world is in your own unique story.
383	What character does the voice actress of Mariposa also voice?	Laverna	Nori	Renee	Hot cobbler Derek
384	What is the number of mentioned tasks required for a princess to know in the song "To Be a Princess" (unrepeated)?	25	34	42	51
385	What is the name of the character shown in the image from Magic of the Rainbow?	Felicity	Glee	Joy	Teresa
386	What is Queen Calissa's supposed fear?	Losing her only daughter	The death of the ocean	A heavy tail	Losing to Eris
387	How many ambassadors were there in Mermaid Tale 2?	3	4	5	6
388	Who is the skilled mermaid warrior and mentor who trains Merlaih is advanced combat technique and magic spells?	Seraphina	Her mother	Nori	I don't think I watched this movie
389	How does Corinne lose her initial fight when she reaches Paris?	She drops her letter	She trips on a barrel	Her cat distracts her	Fair and square
390	What is the name of Corrine's father?	D'Artagnan	Phillipe	Guillaume	Lucien
391	What is Corrine's punishment for messing with the other maids?	Scrubbing every inch of the floor	Dusting every chandelier in the castle	Polishing ever knob on each and every door	Weeding the entire garden
392	How much money does Corrine's mother give her?	10 Crowns	15 Crowns	100 Crowns	500 Crowns
393	Which musketeer likes to say "Diddo?"	Corrine	Aramina	Renee	Viveca
